epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,lr
1,1.938383,0.66037,0.860977,1.338996,0.826376,0.966891,9.755e-05
2,1.581432,0.758205,0.921782,1.204432,0.867762,0.976554,9.045e-05
3,1.450284,0.796832,0.93868,1.197957,0.870178,0.976277,7.939e-05
4,1.35201,0.825769,0.951195,1.142571,0.884871,0.98103,6.545e-05
5,1.258368,0.853848,0.961215,1.130337,0.89002,0.979604,5e-05
6,1.178051,0.878785,0.968686,1.10347,0.898614,0.982495,3.455e-05
7,1.108267,0.900937,0.975868,1.092097,0.903446,0.98297,2.061e-05
8,1.053469,0.918574,0.980488,1.073648,0.910139,0.98297,9.55e-06
9,1.021145,0.928409,0.98231,1.066761,0.913663,0.983485,2.45e-06
10,1.006027,0.933663,0.982733,1.061534,0.915842,0.983802,0.0
